Age,Workclass,Education-Num,Marital Status,Occupation,Relationship,Race,Sex,Capital Gain,Capital Loss,Hours per week,Country,Target
41.0, State-gov,11.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States,False
29.0, Private,11.0, Never-married, Prof-specialty, Not-in-family, White, Male,0.0,0.0,43.0, United-States,False
25.0, Private,10.0, Married-civ-spouse, Exec-managerial, Wife, Other, Female,0.0,0.0,40.0, United-States,False
18.0, Private,9.0, Never-married, Other-service, Own-child, White, Female,0.0,0.0,30.0, ?,False
47.0, Private,15.0, Married-civ-spouse, Prof-specialty, Wife, White, Female,0.0,1902.0,60.0, Honduras,True
50.0, Federal-gov,13.0, Divorced, Exec-managerial, Not-in-family, White, Male,0.0,0.0,55.0, United-States,True
47.0, Self-emp-inc,9.0, Divorced, Exec-managerial, Not-in-family, White, Male,0.0,0.0,60.0, United-States,False
43.0, Private,10.0, Married-civ-spouse, Tech-support, Husband, White, Male,0.0,0.0,40.0, United-States,True
46.0, Private,3.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0.0,0.0,40.0, Mexico,False
35.0, Private,11.0, Married-civ-spouse, Other-service, Husband, White, Male,0.0,0.0,40.0, Puerto-Rico,False
41.0, Private,9.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,0.0,0.0,48.0, United-States,False
30.0, Private,9.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,5013.0,0.0,40.0, United-States,False
30.0, Private,13.0, Married-civ-spouse, Sales, Husband, White, Male,2407.0,0.0,40.0, United-States,False
32.0, ?,4.0, Married-spouse-absent, ?, Not-in-family, White, Male,0.0,0.0,40.0, ?,False
48.0, Private,9.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0.0,0.0,40.0, United-States,False
42.0, Private,16.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,45.0, United-States,True
29.0, Private,10.0, Divorced, Tech-support, Not-in-family, White, Male,0.0,0.0,58.0, United-States,False
36.0, Private,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States,False
28.0, Private,10.0, Divorced, Adm-clerical, Not-in-family, White, Female,0.0,0.0,40.0, United-States,False
53.0, Private,9.0, Married-civ-spouse, Adm-clerical, Wife, White, Female,0.0,0.0,40.0, United-States,True
49.0, Self-emp-inc,10.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,50.0, United-States,True
25.0, ?,10.0, Never-married, ?, Own-child, White, Male,0.0,0.0,40.0, United-States,False
19.0, Private,10.0, Never-married, Prof-specialty, Own-child, White, Male,0.0,0.0,32.0, United-States,False
31.0, Private,13.0, Separated, Sales, Own-child, Black, Female,0.0,0.0,40.0, United-States,False
29.0, Self-emp-not-inc,13.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,70.0, United-States,True
23.0, Private,10.0, Never-married, Machine-op-inspct, Not-in-family, White, Male,0.0,0.0,40.0, United-States,False
79.0, Private,10.0, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,0.0,0.0,20.0, United-States,False
27.0, Private,9.0, Never-married, Other-service, Own-child, White, Male,0.0,0.0,40.0, Mexico,False
40.0, Private,12.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,0.0,0.0,40.0, United-States,False
67.0, ?,6.0, Married-civ-spouse, ?, Husband, White, Male,0.0,0.0,2.0, United-States,False
18.0, Private,7.0, Never-married, Other-service, Own-child, White, Female,0.0,0.0,22.0, United-States,False
31.0, Local-gov,4.0, Married-civ-spouse, Farming-fishing, Husband, White, Male,0.0,0.0,40.0, United-States,False
18.0, Private,9.0, Never-married, Sales, Not-in-family, White, Male,0.0,0.0,30.0, United-States,False
52.0, Private,13.0, Married-civ-spouse, Other-service, Husband, White, Male,0.0,0.0,40.0, Cuba,False
46.0, Private,9.0, Married-civ-spouse, Other-service, Wife, White, Female,0.0,0.0,40.0, United-States,False
59.0, Private,9.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,48.0, United-States,False
44.0, Private,9.0, Divorced, Craft-repair, Not-in-family, White, Female,14344.0,0.0,40.0, United-States,True
53.0, Private,9.0, Divorced, Sales, Own-child, White, Female,0.0,0.0,35.0, United-States,False
49.0, Local-gov,9.0, Married-civ-spouse, Protective-serv, Husband, White, Male,0.0,0.0,40.0, United-States,True
33.0, Private,14.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,50.0, United-States,False
30.0, Private,5.0, Never-married, Sales, Not-in-family, White, Male,0.0,0.0,40.0, United-States,False
43.0, Federal-gov,16.0, Never-married, Prof-specialty, Not-in-family, White, Female,0.0,0.0,50.0, United-States,True
57.0, Private,11.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,40.0, United-States,False
37.0, Private,10.0, Divorced, Craft-repair, Unmarried, White, Female,0.0,0.0,40.0, United-States,False
28.0, Private,10.0, Divorced, Machine-op-inspct, Unmarried, Black, Female,0.0,0.0,25.0, United-States,False
30.0, Private,9.0, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander, Female,0.0,1573.0,35.0, ?,False
34.0, Local-gov,13.0, Married-civ-spouse, Protective-serv, Husband, White, Male,0.0,0.0,40.0, United-States,True
29.0, Local-gov,10.0, Never-married, Handlers-cleaners, Not-in-family, White, Male,0.0,0.0,50.0, United-States,False
48.0, Self-emp-not-inc,16.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,1902.0,60.0, United-States,True
37.0, Private,10.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,48.0, United-States,True
48.0, Private,12.0, Divorced, Exec-managerial, Unmarried, White, Female,0.0,0.0,40.0, England,False
32.0, Federal-gov,9.0, Never-married, Other-service, Own-child, Black, Male,0.0,0.0,40.0, United-States,False
76.0, Private,14.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,40.0, United-States,True
44.0, Private,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024.0,0.0,60.0, United-States,True
47.0, Self-emp-not-inc,14.0, Never-married, Prof-specialty, Not-in-family, White, Female,0.0,0.0,50.0, United-States,False
20.0, Private,10.0, Never-married, Tech-support, Own-child, White, Female,0.0,0.0,40.0, United-States,False
29.0, Private,9.0, Never-married, Craft-repair, Not-in-family, White, Male,0.0,0.0,40.0, United-States,False
32.0, Self-emp-inc,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,7688.0,0.0,40.0, United-States,True
17.0, ?,6.0, Never-married, ?, Own-child, White, Female,34095.0,0.0,32.0, United-States,False
30.0, Private,7.0, Never-married, Handlers-cleaners, Own-child, White, Male,0.0,0.0,40.0, United-States,False
31.0, Local-gov,9.0, Never-married, Adm-clerical, Not-in-family, White, Female,0.0,0.0,40.0, United-States,False
42.0, Private,9.0, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0.0,0.0,40.0, United-States,False
24.0, Private,13.0, Never-married, Sales, Other-relative, White, Male,0.0,0.0,40.0, United-States,False
38.0, Private,15.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,40.0, United-States,True
56.0, Self-emp-not-inc,9.0, Married-civ-spouse, Other-service, Husband, White, Male,0.0,1887.0,50.0, Canada,True
28.0, Private,10.0, Married-civ-spouse, Sales, Wife, White, Female,4064.0,0.0,25.0, United-States,False
36.0, Private,9.0, Never-married, Machine-op-inspct, Own-child, White, Female,0.0,0.0,40.0, United-States,False
53.0, Private,5.0, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0.0,0.0,50.0, United-States,False
56.0, Self-emp-inc,10.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,50.0, United-States,False
49.0, Local-gov,11.0, Married-civ-spouse, Craft-repair, Husband, Black, Male,0.0,0.0,40.0, United-States,True
55.0, Private,10.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,56.0, United-States,False
22.0, Private,9.0, Never-married, Craft-repair, Not-in-family, White, Male,0.0,0.0,41.0, United-States,False
21.0, Private,10.0, Never-married, Other-service, Own-child, White, Female,0.0,0.0,40.0, United-States,False
40.0, Private,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,60.0, United-States,False
30.0, Private,13.0, Never-married, Exec-managerial, Own-child, Black, Male,0.0,0.0,40.0, Germany,False
29.0, State-gov,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,50.0, United-States,True
19.0, Private,10.0, Never-married, Other-service, Own-child, Black, Male,0.0,0.0,35.0, United-States,False
47.0, Private,13.0, Married-civ-spouse, Exec-managerial, Wife, White, Female,0.0,0.0,40.0, United-States,True
20.0, Private,10.0, Never-married, Adm-clerical, Own-child, White, Female,0.0,1719.0,28.0, United-States,False
31.0, Private,12.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,0.0,0.0,40.0, United-States,True
35.0, ?,9.0, Married-civ-spouse, ?, Husband, White, Male,0.0,0.0,40.0, United-States,False
39.0, Private,10.0, Divorced, Craft-repair, Not-in-family, White, Male,0.0,0.0,40.0, United-States,False
28.0, Private,12.0, Never-married, Sales, Not-in-family, White, Female,0.0,0.0,60.0, United-States,False
24.0, Private,9.0, Never-married, Other-service, Not-in-family, White, Female,0.0,1762.0,40.0, United-States,False
38.0, Self-emp-not-inc,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,4386.0,0.0,35.0, United-States,False
37.0, Private,13.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,50.0, United-States,False
46.0, Private,12.0, Divorced, Tech-support, Not-in-family, Black, Female,0.0,0.0,36.0, United-States,False
38.0, Federal-gov,14.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,40.0, Iran,True
43.0, Self-emp-not-inc,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,60.0, United-States,False
27.0, Private,11.0, Married-civ-spouse, Adm-clerical, Wife, White, Female,0.0,0.0,35.0, United-States,False
20.0, Private,10.0, Never-married, Sales, Own-child, White, Male,0.0,0.0,20.0, United-States,False
49.0, Private,10.0, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0.0,0.0,40.0, United-States,True
61.0, Self-emp-inc,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States,False
27.0, Private,10.0, Never-married, Sales, Own-child, White, Female,0.0,0.0,40.0, United-States,False
19.0, Private,10.0, Never-married, Other-service, Own-child, White, Male,0.0,0.0,30.0, Mexico,False
45.0, Private,11.0, Never-married, Prof-specialty, Not-in-family, White, Female,0.0,1564.0,40.0, United-States,True
70.0, Private,10.0, Never-married, Tech-support, Other-relative, White, Male,0.0,0.0,40.0, United-States,False
31.0, Private,9.0, Never-married, Transport-moving, Unmarried, Black, Female,0.0,0.0,30.0, United-States,False
22.0, Private,10.0, Married-civ-spouse, Other-service, Husband, White, Male,0.0,0.0,24.0, United-States,False
36.0, Private,9.0, Widowed, Other-service, Unmarried, White, Female,0.0,0.0,24.0, United-States,False
64.0, Private,7.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,2179.0,40.0, United-States,False
43.0, ?,10.0, Divorced, ?, Not-in-family, White, Female,0.0,0.0,40.0, United-States,False
47.0, Local-gov,10.0, Divorced, Adm-clerical, Unmarried, White, Female,0.0,0.0,38.0, Mexico,False
34.0, Private,9.0, Never-married, Adm-clerical, Not-in-family, White, Female,0.0,0.0,40.0, United-States,False
33.0, Private,13.0, Never-married, Exec-managerial, Other-relative, Asian-Pac-Islander, Female,0.0,0.0,40.0, Philippines,False
21.0, Private,9.0, Never-married, Craft-repair, Own-child, White, Male,0.0,0.0,35.0, United-States,False
52.0, ?,9.0, Divorced, ?, Not-in-family, White, Male,0.0,0.0,45.0, United-States,True
48.0, Private,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,46.0, United-States,False
23.0, Private,13.0, Never-married, Handlers-cleaners, Not-in-family, White, Male,0.0,0.0,40.0, United-States,False
71.0, Self-emp-not-inc,10.0, Separated, Sales, Unmarried, Black, Male,0.0,1816.0,2.0, United-States,False
29.0, Private,9.0, Divorced, Craft-repair, Not-in-family, White, Male,0.0,0.0,60.0, United-States,False
42.0, Private,13.0, Separated, Other-service, Other-relative, Black, Male,0.0,0.0,50.0, United-States,False
68.0, ?,2.0, Divorced, ?, Not-in-family, White, Female,0.0,0.0,20.0, United-States,False
25.0, Private,9.0, Never-married, Other-service, Unmarried, White, Female,0.0,0.0,40.0, United-States,False
44.0, Self-emp-inc,14.0, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0.0,0.0,40.0, United-States,False
28.0, Private,9.0, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0.0,0.0,40.0, England,False
45.0, Self-emp-not-inc,14.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,40.0, United-States,True
36.0, Private,10.0, Divorced, Other-service, Unmarried, White, Female,0.0,0.0,40.0, Mexico,False
39.0, Federal-gov,12.0, Never-married, Exec-managerial, Not-in-family, White, Male,0.0,0.0,42.0, United-States,False
46.0, State-gov,14.0, Widowed, Protective-serv, Unmarried, White, Male,0.0,0.0,40.0, United-States,False
18.0, Private,7.0, Never-married, Handlers-cleaners, Own-child, White, Male,0.0,0.0,16.0, United-States,False
66.0, Local-gov,11.0, Widowed, Prof-specialty, Not-in-family, White, Female,0.0,0.0,20.0, United-States,False
27.0, Private,9.0, Never-married, Other-service, Not-in-family, White, Male,0.0,1980.0,40.0, United-States,False
28.0, State-gov,9.0, Married-civ-spouse, Protective-serv, Husband, White, Male,0.0,0.0,40.0, United-States,False
51.0, Private,10.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,1977.0,40.0, United-States,True
27.0, Private,13.0, Never-married, Craft-repair, Not-in-family, White, Male,0.0,0.0,50.0, United-States,False
28.0, State-gov,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,40.0, United-States,True
27.0, Private,9.0, Married-spouse-absent, Sales, Unmarried, White, Female,0.0,0.0,25.0, United-States,False
21.0, Private,9.0, Never-married, Craft-repair, Own-child, Black, Male,0.0,0.0,40.0, United-States,False
34.0, Private,9.0, Never-married, Handlers-cleaners, Not-in-family, Black, Male,0.0,0.0,40.0, United-States,False
18.0, Private,9.0, Never-married, Other-service, Own-child, White, Male,0.0,0.0,12.0, United-States,False
33.0, Private,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,65.0, United-States,False
44.0, Local-gov,10.0, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0.0,0.0,38.0, United-States,True
43.0, Private,10.0, Divorced, Adm-clerical, Not-in-family, White, Female,0.0,0.0,40.0, United-States,False
30.0, Private,10.0, Never-married, Craft-repair, Not-in-family, Black, Male,0.0,0.0,45.0, United-States,False
40.0, Private,4.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0.0,0.0,40.0, Mexico,True
37.0, Federal-gov,10.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,0.0,0.0,42.0, United-States,True
34.0, Private,9.0, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0.0,0.0,40.0, United-States,False
41.0, Self-emp-not-inc,13.0, Divorced, Exec-managerial, Not-in-family, White, Female,0.0,0.0,40.0, United-States,False
53.0, ?,13.0, Divorced, ?, Not-in-family, White, Female,0.0,0.0,50.0, United-States,False
31.0, Private,14.0, Married-civ-spouse, Prof-specialty, Wife, White, Female,0.0,0.0,50.0, United-States,False
58.0, State-gov,16.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,1.0, United-States,True
38.0, Private,10.0, Divorced, Machine-op-inspct, Not-in-family, Black, Female,0.0,0.0,28.0, United-States,False
24.0, Private,10.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0.0,0.0,40.0, United-States,False
41.0, Local-gov,13.0, Married-civ-spouse, Craft-repair, Husband, Black, Male,0.0,0.0,40.0, United-States,False
47.0, Private,10.0, Married-civ-spouse, Tech-support, Husband, White, Male,0.0,0.0,45.0, United-States,False
41.0, Federal-gov,13.0, Married-civ-spouse, Tech-support, Husband, White, Male,0.0,0.0,24.0, United-States,False
23.0, Private,3.0, Married-civ-spouse, Transport-moving, Other-relative, White, Male,0.0,0.0,40.0, Mexico,False
36.0, Private,10.0, Divorced, Craft-repair, Not-in-family, White, Male,0.0,0.0,40.0, United-States,False
40.0, Federal-gov,14.0, Never-married, Exec-managerial, Not-in-family, White, Female,14084.0,0.0,55.0, United-States,True
35.0, Private,14.0, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,7298.0,0.0,40.0, United-States,True
24.0, Self-emp-not-inc,9.0, Never-married, Sales, Not-in-family, White, Male,0.0,0.0,40.0, United-States,False
26.0, Private,14.0, Never-married, Prof-specialty, Not-in-family, White, Female,0.0,1876.0,40.0, United-States,False
19.0, ?,9.0, Never-married, ?, Own-child, White, Male,0.0,0.0,40.0, Italy,False
51.0, Private,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,50.0, United-States,True
42.0, Local-gov,10.0, Never-married, Prof-specialty, Not-in-family, White, Female,0.0,1340.0,40.0, United-States,False
37.0, State-gov,9.0, Divorced, Adm-clerical, Unmarried, White, Female,0.0,0.0,35.0, United-States,False
18.0, Private,7.0, Never-married, Sales, Own-child, White, Female,0.0,0.0,40.0, United-States,False
36.0, Private,13.0, Married-civ-spouse, Other-service, Husband, Black, Male,7298.0,0.0,36.0, United-States,True
35.0, Private,9.0, Divorced, Craft-repair, Not-in-family, White, Male,0.0,0.0,60.0, United-States,False
58.0, Self-emp-inc,9.0, Married-civ-spouse, Sales, Wife, White, Female,15024.0,0.0,35.0, United-States,True
17.0, Private,7.0, Never-married, Sales, Own-child, White, Female,0.0,0.0,12.0, United-States,False
44.0, Local-gov,9.0, Married-civ-spouse, Transport-moving, Husband, Black, Male,0.0,0.0,40.0, United-States,False
37.0, Private,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States,True
35.0, Private,10.0, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0.0,0.0,40.0, United-States,False
60.0, Private,9.0, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0.0,0.0,40.0, United-States,False
54.0, Self-emp-inc,4.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0.0,0.0,40.0, United-States,True
37.0, Private,13.0, Never-married, Exec-managerial, Not-in-family, Black, Male,0.0,0.0,60.0, United-States,True
50.0, Private,12.0, Divorced, Sales, Not-in-family, White, Female,0.0,0.0,40.0, United-States,False
38.0, Private,13.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,50.0, Poland,False
45.0, Private,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,55.0, United-States,False
25.0, Private,6.0, Never-married, Craft-repair, Not-in-family, White, Male,0.0,0.0,40.0, United-States,False
31.0, Private,10.0, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0.0,0.0,40.0, United-States,False
64.0, ?,2.0, Divorced, ?, Not-in-family, White, Male,0.0,0.0,40.0, United-States,False
90.0, Private,9.0, Never-married, Other-service, Not-in-family, Black, Male,0.0,2206.0,40.0, United-States,False
54.0, Private,9.0, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0.0,0.0,20.0, United-States,False
53.0, Local-gov,1.0, Never-married, Machine-op-inspct, Not-in-family, White, Female,0.0,0.0,35.0, United-States,False
18.0, Private,9.0, Never-married, Sales, Own-child, White, Female,0.0,0.0,40.0, United-States,False
60.0, ?,6.0, Divorced, ?, Not-in-family, Amer-Indian-Eskimo, Female,0.0,0.0,10.0, United-States,False
66.0, Self-emp-not-inc,9.0, Married-civ-spouse, Farming-fishing, Husband, White, Male,1409.0,0.0,50.0, United-States,False
75.0, Private,11.0, Widowed, Adm-clerical, Not-in-family, White, Female,0.0,0.0,20.0, Columbia,False
65.0, Private,9.0, Divorced, Adm-clerical, Not-in-family, White, Female,0.0,0.0,40.0, United-States,False
35.0, Private,7.0, Separated, Transport-moving, Not-in-family, Black, Male,3674.0,0.0,40.0, United-States,False
41.0, Private,9.0, Divorced, Sales, Unmarried, Black, Female,0.0,0.0,38.0, United-States,False
25.0, Private,10.0, Never-married, Adm-clerical, Not-in-family, White, Male,0.0,0.0,42.0, United-States,False
33.0, Private,10.0, Divorced, Craft-repair, Other-relative, Other, Female,0.0,0.0,40.0, United-States,False
28.0, Private,15.0, Never-married, Prof-specialty, Not-in-family, White, Male,0.0,0.0,55.0, United-States,True
59.0, State-gov,9.0, Married-civ-spouse, Other-service, Husband, White, Male,0.0,0.0,40.0, United-States,False
40.0, State-gov,10.0, Never-married, Adm-clerical, Not-in-family, White, Female,0.0,0.0,38.0, United-States,False
41.0, Private,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,50.0, Iran,True
38.0, Local-gov,14.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,70.0, United-States,True
23.0, Private,9.0, Never-married, Transport-moving, Own-child, White, Male,0.0,0.0,40.0, United-States,False
40.0, Private,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,40.0, United-States,True
41.0, Self-emp-not-inc,9.0, Married-civ-spouse, Other-service, Wife, White, Female,0.0,0.0,20.0, United-States,False
24.0, State-gov,12.0, Married-civ-spouse, Protective-serv, Husband, White, Male,0.0,0.0,50.0, United-States,False
20.0, ?,10.0, Never-married, ?, Own-child, White, Male,0.0,0.0,20.0, United-States,False
38.0, Private,10.0, Divorced, Craft-repair, Not-in-family, White, Male,0.0,1741.0,40.0, United-States,False
56.0, Private,9.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,0.0,0.0,35.0, ?,False
58.0, Private,9.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,0.0,0.0,45.0, United-States,True
32.0, Private,9.0, Never-married, Other-service, Not-in-family, White, Female,0.0,0.0,34.0, United-States,False
40.0, Private,12.0, Married-civ-spouse, Tech-support, Husband, White, Male,0.0,1977.0,60.0, United-States,True
